Role,Choice,Round,Subj
1,0,4,31
0,1,1,31
0,1,2,31
0,1,3,31
0,1,4,31
0,1,5,31
0,0,1,31
0,1,2,31
0,1,3,31
0,1,4,31
0,1,5,31
0,1,6,31
0,1,7,31
1,1,1,32
1,0,2,32
1,0,3,32
1,0,4,32
0,0,1,32
0,1,2,32
0,1,3,32
0,1,4,32
1,1,1,32
1,0,2,32
1,0,3,32
1,0,4,32
1,0,5,32
1,0,6,32
0,1,1,32
0,1,2,32
0,1,3,32
0,1,4,32
0,1,5,32
0,1,6,32
0,1,7,32
0,1,1,33
0,1,2,33
0,1,3,33
1,0,1,33
1,0,2,33
1,0,3,33
1,0,4,33
1,0,5,33
1,0,6,33
1,0,7,33
0,1,1,33
0,1,2,33
0,1,3,33
0,1,4,33
0,1,5,33
1,0,1,33
1,0,2,33
1,0,3,33
1,0,4,33
1,0,5,33
1,1,1,34
1,1,2,34
1,0,3,34
1,0,4,34
1,0,5,34
0,0,1,34
0,0,2,34
0,0,3,34
0,1,4,34
0,0,5,34
0,1,6,34
0,0,1,34
0,1,2,34
0,0,3,34
0,0,4,34
0,1,5,34
0,0,6,34
1,1,1,34
1,1,2,34
1,0,3,34
1,0,4,34
1,0,5,34
1,1,1,35
1,1,2,35
1,0,3,35
1,0,4,35
1,0,5,35
1,0,6,35
1,0,7,35
1,1,1,35
1,0,2,35
1,0,3,35
1,0,4,35
1,0,5,35
0,0,1,35
0,0,2,35
0,1,3,35
0,1,4,35
0,0,1,35
0,0,2,35
0,0,3,35
0,0,4,35
0,0,1,36
0,0,2,36
0,0,3,36
0,1,4,36
0,0,5,36
0,1,6,36
0,1,7,36
0,1,8,36
1,0,1,36
1,0,2,36
1,0,3,36
1,0,4,36
1,0,5,36
1,0,1,36
1,0,2,36
1,0,3,36
1,0,4,36
1,0,5,36
1,0,6,36
1,0,7,36
0,1,1,36
0,1,2,36
0,1,3,36
0,1,4,36
0,1,5,36
1,0,1,37
1,0,2,37
1,0,3,37
1,0,4,37
1,0,5,37
0,0,1,37
0,0,2,37
0,1,3,37
0,0,4,37
0,1,5,37
1,0,1,37
1,0,2,37
1,0,3,37
1,0,4,37
1,1,5,37
1,0,6,37
0,0,1,37
0,0,2,37
0,0,3,37
0,1,4,37
1,1,1,38
1,0,2,38
1,0,3,38
1,0,4,38
1,0,1,38
1,0,2,38
1,0,3,38
1,0,4,38
1,0,5,38
0,1,1,38
0,0,2,38
0,0,3,38
0,0,4,38
0,1,5,38
0,1,1,38
0,0,2,38
0,1,3,38
0,0,4,38
0,1,5,38
0,0,6,38
0,0,1,39
0,0,2,39
0,0,3,39
0,0,4,39
1,1,1,39
1,0,2,39
1,0,3,39
1,0,4,39
1,0,5,39
1,0,6,39
0,1,1,39
0,1,2,39
0,1,3,39
0,0,4,39
0,0,5,39
0,0,6,39
1,0,1,39
1,0,2,39
1,0,3,39
1,0,4,39
1,0,1,40
1,0,2,40
1,0,3,40
1,0,4,40
1,0,5,40
0,0,1,40
0,1,2,40
0,0,3,40
0,0,4,40
0,0,5,40
0,0,6,40
0,0,7,40
1,0,1,40
1,1,2,40
1,0,3,40
0,1,1,40
0,1,2,40
0,1,3,40
0,1,4,40
0,1,5,40
0,1,6,40
0,1,7,40
1,0,1,41
1,0,2,41
1,0,3,41
1,0,4,41
1,0,5,41
1,0,6,41
1,0,1,41
1,1,2,41
1,0,3,41
1,0,4,41
1,0,5,41
1,0,6,41
1,0,7,41
0,0,1,41
0,0,2,41
0,0,3,41
0,0,4,41
0,0,5,41
0,0,6,41
0,0,7,41
0,0,8,41
0,0,1,41
0,0,2,41
0,0,3,41
0,0,4,41
0,0,1,42
0,0,2,42
0,0,3,42
0,0,4,42
0,1,5,42
1,1,1,42
1,1,2,42
1,1,3,42
1,0,1,42
1,0,2,42
1,0,3,42
1,0,4,42
1,0,5,42
1,0,6,42
1,0,7,42
0,1,1,42
0,1,2,42
0,1,3,42
0,1,4,42
0,1,5,42
0,1,6,42
0,1,7,42
1,1,1,43
1,0,2,43
1,0,3,43
0,1,1,43
0,0,2,43
0,1,3,43
0,1,4,43
0,1,5,43
1,0,1,43
1,0,2,43
1,0,3,43
1,0,4,43
0,1,1,43
0,0,2,43
0,1,3,43
0,1,4,43
0,1,1,44
0,1,2,44
0,1,3,44
0,0,4,44
0,1,1,44
0,1,2,44
0,1,3,44
0,0,4,44
0,0,5,44
0,0,6,44
1,1,1,44
1,0,2,44
1,0,3,44
1,0,1,44
1,0,2,44
1,0,3,44
1,0,4,44
1,0,5,44
1,0,6,44
1,0,7,44
0,0,1,45
0,0,2,45
0,1,3,45
0,0,4,45
0,0,5,45
1,1,1,45
1,1,2,45
1,1,3,45
1,1,4,45
1,1,5,45
1,1,6,45
1,1,7,45
1,1,1,45
1,1,2,45
1,1,3,45
