0.0 0.0,0.0 1.0,0.0 2.0,0.0 3.0,ASLP,1.0 0.0,1.0 1.0,1.0 2.0,1.0 3.0,1.0 4.0,2.0 0.0,2.0 1.0,2.0 2.0,2.0 3.0,2.0 4.0,3.0 0.0,3.0 1.0,3.0 2.0,3.0 3.0,3.0 4.0,4.0 0.0,LSAPT,4.0 2.0,4.0 3.0,4.0 4.0,other
0.000417603,0.000417603,0.000417603,0.000417603,0.000417603,0.000417603,0.000417603,0.000417603,0.000417603,0.000417603,0.000417603,0.000417603,0.000417603,0.000417603,0.000417603,0.000874882,0.001014334,0.000417603,0.000417603,0.000417603,0.003141072,0.986196067,0.000417603,0.000417624,0.00042157,0
0.000417372,0.000417372,0.000417372,0.000417372,0.000417372,0.000417372,0.000417372,0.000417372,0.000417372,0.000417372,0.000417372,0.000417372,0.000417372,0.000417372,0.000417372,0.000878127,0.00102054,0.000417372,0.000417372,0.000417372,0.003148556,0.986184954,0.000417372,0.000417388,0.000420363,0
0.000417198,0.000417198,0.000417198,0.000417198,0.000417198,0.000417198,0.000417198,0.000417198,0.000417198,0.000417198,0.000417198,0.000417198,0.000417198,0.000417198,0.000417198,0.000880879,0.001026022,0.000417198,0.000417198,0.000417198,0.003155687,0.986173979,0.000417198,0.00041721,0.000419452,0
0.000417067,0.000417067,0.000417067,0.000417067,0.000417067,0.000417067,0.000417067,0.000417067,0.000417067,0.000417067,0.000417067,0.000417067,0.000417067,0.000417067,0.000417067,0.000883195,0.001030846,0.000417067,0.000417067,0.000417067,0.003162488,0.986163349,0.000417067,0.000417076,0.000418766,0
0.000416969,0.000416969,0.000416969,0.000416969,0.000416969,0.000416969,0.000416969,0.000416969,0.000416969,0.000416969,0.000416969,0.000416969,0.000416969,0.000416969,0.000416969,0.000885127,0.001035074,0.000416969,0.000416969,0.000416969,0.003168982,0.98615319,0.000416969,0.000416975,0.000418249,0
0.000416894,0.000416894,0.000416894,0.000416894,0.000416894,0.000416894,0.000416894,0.000416894,0.000416894,0.000416894,0.000416894,0.000416894,0.000416894,0.000416894,0.000416894,0.000886723,0.001038765,0.000416894,0.000416894,0.000416894,0.003175189,0.986143575,0.000416894,0.000416899,0.000417859,0
0.000416838,0.000416838,0.000416838,0.000416838,0.000416838,0.000416838,0.000416838,0.000416838,0.000416838,0.000416838,0.000416838,0.000416838,0.000416838,0.000416838,0.000416838,0.000888026,0.001041975,0.000416838,0.000416838,0.000416838,0.00318113,0.986134538,0.000416838,0.000416842,0.000417565,0
0.000416796,0.000416796,0.000416796,0.000416796,0.000416796,0.000416796,0.000416796,0.000416796,0.000416796,0.000416796,0.000416796,0.000416796,0.000416796,0.000416796,0.000416796,0.000889076,0.001044754,0.000416796,0.000416796,0.000416796,0.003186824,0.986126084,0.000416796,0.000416799,0.000417343,0
0.000416764,0.000416764,0.000416764,0.000416764,0.000416764,0.000416764,0.000416764,0.000416764,0.000416764,0.000416764,0.000416764,0.000416764,0.000416764,0.000416764,0.000416764,0.000889907,0.001047147,0.000416764,0.000416764,0.000416764,0.003192286,0.986118203,0.000416764,0.000416766,0.000417176,0
0.00041674,0.00041674,0.00041674,0.00041674,0.00041674,0.00041674,0.00041674,0.00041674,0.00041674,0.00041674,0.00041674,0.00041674,0.00041674,0.00041674,0.00041674,0.000890549,0.001049197,0.00041674,0.00041674,0.00041674,0.003197534,0.98611087,0.00041674,0.000416742,0.000417051,0
