0.0 0.0,LSAPT,ASLP,10.0 10.0,other
4.07E-31,1,3.98E-31,3.98E-31,0
2.03E-31,1,1.99E-31,1.99E-31,0
1.02E-31,1,9.96E-32,9.96E-32,0
5.08E-32,1,4.98E-32,4.98E-32,0
2.54E-32,1,2.49E-32,2.49E-32,0
1.27E-32,1,1.25E-32,1.25E-32,0
6.35E-33,1,6.23E-33,6.23E-33,0
3.18E-33,1,3.11E-33,3.11E-33,0
1.59E-33,1,1.56E-33,1.56E-33,0
7.94E-34,1,7.78E-34,7.78E-34,0
3.97E-34,1,3.89E-34,3.89E-34,0
1.98E-34,1,1.95E-34,1.95E-34,0
9.92E-35,1,9.73E-35,9.73E-35,0
4.96E-35,1,4.86E-35,4.86E-35,0
2.48E-35,1,2.43E-35,2.43E-35,0
1.24E-35,1,1.22E-35,1.22E-35,0
6.20E-36,1,6.08E-36,6.08E-36,0
3.10E-36,1,3.04E-36,3.04E-36,0
1.55E-36,1,1.52E-36,1.52E-36,0
7.75E-37,1,7.60E-37,7.60E-37,0
3.88E-37,1,3.80E-37,3.80E-37,0
1.94E-37,1,1.90E-37,1.90E-37,0
9.69E-38,1,9.50E-38,9.50E-38,0
4.85E-38,1,4.75E-38,4.75E-38,0
2.42E-38,1,2.37E-38,2.37E-38,0
1.21E-38,1,1.19E-38,1.19E-38,0
6.06E-39,1,5.94E-39,5.94E-39,0
3.03E-39,1,2.97E-39,2.97E-39,0
1.51E-39,1,1.48E-39,1.48E-39,0
7.57E-40,1,7.42E-40,7.42E-40,0
3.79E-40,1,3.71E-40,3.71E-40,0
1.89E-40,1,1.86E-40,1.86E-40,0
9.46E-41,1,9.28E-41,9.28E-41,0
4.73E-41,1,4.64E-41,4.64E-41,0
2.37E-41,1,2.32E-41,2.32E-41,0
1.18E-41,1,1.16E-41,1.16E-41,0
5.92E-42,1,5.80E-42,5.80E-42,0
2.96E-42,1,2.90E-42,2.90E-42,0
1.48E-42,1,1.45E-42,1.45E-42,0
7.39E-43,1,7.25E-43,7.25E-43,0
3.70E-43,1,3.62E-43,3.62E-43,0
1.85E-43,1,1.81E-43,1.81E-43,0
9.24E-44,1,9.06E-44,9.06E-44,0
4.62E-44,1,4.53E-44,4.53E-44,0
2.31E-44,1,2.26E-44,2.26E-44,0
1.16E-44,1,1.13E-44,1.13E-44,0
5.78E-45,1,5.66E-45,5.66E-45,0
2.89E-45,1,2.83E-45,2.83E-45,0
1.44E-45,1,1.42E-45,1.42E-45,0
7.22E-46,1,7.08E-46,7.08E-46,0
3.61E-46,1,3.54E-46,3.54E-46,0
1.81E-46,1,1.77E-46,1.77E-46,0
9.03E-47,1,8.85E-47,8.85E-47,0
4.51E-47,1,4.42E-47,4.42E-47,0
2.26E-47,1,2.21E-47,2.21E-47,0
1.13E-47,1,1.11E-47,1.11E-47,0
5.64E-48,1,5.53E-48,5.53E-48,0
2.82E-48,1,2.76E-48,2.76E-48,0
1.41E-48,1,1.38E-48,1.38E-48,0
7.05E-49,1,6.91E-49,6.91E-49,0
3.53E-49,1,3.46E-49,3.46E-49,0
1.76E-49,1,1.73E-49,1.73E-49,0
8.81E-50,1,8.64E-50,8.64E-50,0
4.41E-50,1,4.32E-50,4.32E-50,0
2.20E-50,1,2.16E-50,2.16E-50,0
1.10E-50,1,1.08E-50,1.08E-50,0
5.51E-51,1,5.40E-51,5.40E-51,0
2.75E-51,1,2.70E-51,2.70E-51,0
1.38E-51,1,1.35E-51,1.35E-51,0
6.89E-52,1,6.75E-52,6.75E-52,0
3.44E-52,1,3.38E-52,3.38E-52,0
1.72E-52,1,1.69E-52,1.69E-52,0
8.61E-53,1,8.44E-53,8.44E-53,0
4.30E-53,1,4.22E-53,4.22E-53,0
2.15E-53,1,2.11E-53,2.11E-53,0
1.08E-53,1,1.05E-53,1.05E-53,0
5.38E-54,1,5.27E-54,5.27E-54,0
2.69E-54,1,2.64E-54,2.64E-54,0
1.35E-54,1,1.32E-54,1.32E-54,0
6.73E-55,1,6.59E-55,6.59E-55,0
3.36E-55,1,3.30E-55,3.30E-55,0
1.68E-55,1,1.65E-55,1.65E-55,0
8.41E-56,1,8.24E-56,8.24E-56,0
4.20E-56,1,4.12E-56,4.12E-56,0
2.10E-56,1,2.06E-56,2.06E-56,0
1.05E-56,1,1.03E-56,1.03E-56,0
5.25E-57,1,5.15E-57,5.15E-57,0
2.63E-57,1,2.57E-57,2.57E-57,0
1.31E-57,1,1.29E-57,1.29E-57,0
6.57E-58,1,6.44E-58,6.44E-58,0
3.28E-58,1,3.22E-58,3.22E-58,0
1.64E-58,1,1.61E-58,1.61E-58,0
8.21E-59,1,8.05E-59,8.05E-59,0
4.10E-59,1,4.02E-59,4.02E-59,0
2.05E-59,1,2.01E-59,2.01E-59,0
1.03E-59,1,1.01E-59,1.01E-59,0
5.13E-60,1,5.03E-60,5.03E-60,0
2.57E-60,1,2.51E-60,2.51E-60,0
1.28E-60,1,1.26E-60,1.26E-60,0
6.41E-61,1,6.29E-61,6.29E-61,0
3.21E-61,1,3.14E-61,3.14E-61,0
1.60E-61,1,1.57E-61,1.57E-61,0
8.02E-62,1,7.86E-62,7.86E-62,0
4.01E-62,1,3.93E-62,3.93E-62,0
2.00E-62,1,1.96E-62,1.96E-62,0
1.00E-62,1,9.82E-63,9.82E-63,0
5.01E-63,1,4.91E-63,4.91E-63,0
2.51E-63,1,2.46E-63,2.46E-63,0
1.25E-63,1,1.23E-63,1.23E-63,0
6.26E-64,1,6.14E-64,6.14E-64,0
3.13E-64,1,3.07E-64,3.07E-64,0
1.57E-64,1,1.53E-64,1.53E-64,0
7.83E-65,1,7.67E-65,7.67E-65,0
3.91E-65,1,3.84E-65,3.84E-65,0
1.96E-65,1,1.92E-65,1.92E-65,0
9.79E-66,1,9.59E-66,9.59E-66,0
4.89E-66,1,4.80E-66,4.80E-66,0
