id,datestamp,timestamp,version,order,behavior,opponent,reply,payoff,rt,score,met,condition
A1KX0MPSHBMRB9_m4,11/7/2013,20:38:29,lit1p1,30,1,7nopun,0,1,4292,502,4,0
ARFK5JVM6G8T2_m4,11/7/2013,20:38:29,lit1p1,38,1,7nopun,0,1,4967,522,10,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:38:30,lit1p1,2,2,6pun,0,0,12185,499,2,0
A1KX0MPSHBMRB9_m4,11/7/2013,20:38:34,lit1p1,31,1,7nopun,0,1,4267,503,5,0
A2I9Y7R8F4J7K2_m4,11/7/2013,20:38:36,lit1p1,11,1,1nopun,0,1,5020,511,3,0
ARFK5JVM6G8T2_m4,11/7/2013,20:38:37,lit1p1,39,1,2pun,-2,1,6392,521,1,0
A1KX0MPSHBMRB9_m4,11/7/2013,20:38:39,lit1p1,32,1,7nopun,0,1,4471,504,6,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:38:41,lit1p1,3,1,6pun,-2,1,8654,498,3,0
A2I9Y7R8F4J7K2_m4,11/7/2013,20:38:41,lit1p1,12,1,1nopun,0,1,4788,512,4,0
ARFK5JVM6G8T2_m4,11/7/2013,20:38:43,lit1p1,40,2,2pun,0,0,4813,521,2,0
A1KX0MPSHBMRB9_m4,11/7/2013,20:38:45,lit1p1,33,1,7nopun,0,1,4363,505,7,0
ARFK5JVM6G8T2_m4,11/7/2013,20:38:49,lit1p1,41,2,2pun,0,0,4681,521,3,0
A1KX0MPSHBMRB9_m4,11/7/2013,20:38:49,lit1p1,34,1,7nopun,0,1,4344,506,8,0
A1KX0MPSHBMRB9_m4,11/7/2013,20:38:54,lit1p1,35,1,7nopun,0,1,4335,507,9,0
ARFK5JVM6G8T2_m4,11/7/2013,20:38:55,lit1p1,42,2,2pun,0,0,4730,521,4,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:38:56,lit1p1,4,1,6pun,-2,1,12154,497,4,0
A1KX0MPSHBMRB9_m4,11/7/2013,20:38:59,lit1p1,36,1,7nopun,0,1,4181,508,10,0
ARFK5JVM6G8T2_m4,11/7/2013,20:39:01,lit1p1,43,2,2pun,0,0,4927,521,5,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:39:03,lit1p1,5,1,6pun,-2,1,4442,496,5,0
A2I9Y7R8F4J7K2_m4,11/7/2013,20:39:04,lit1p1,13,1,1nopun,0,1,4206,513,5,0
A1KX0MPSHBMRB9_m4,11/7/2013,20:39:05,lit1p1,37,1,6pun,-2,1,4683,507,1,0
ARFK5JVM6G8T2_m4,11/7/2013,20:39:07,lit1p1,44,2,2pun,0,0,4838,521,6,0
A1KX0MPSHBMRB9_m4,11/7/2013,20:39:10,lit1p1,38,2,6pun,0,0,4342,507,2,0
ARFK5JVM6G8T2_m4,11/7/2013,20:39:14,lit1p1,45,2,2pun,0,0,5012,521,7,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:39:14,lit1p1,6,2,6pun,0,0,5900,496,6,0
A1KX0MPSHBMRB9_m4,11/7/2013,20:39:15,lit1p1,39,2,6pun,0,0,4265,507,3,0
ARFK5JVM6G8T2_m4,11/7/2013,20:39:20,lit1p1,46,2,2pun,0,0,5160,521,8,0
A1KX0MPSHBMRB9_m4,11/7/2013,20:39:20,lit1p1,40,2,6pun,0,0,4207,507,4,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:39:25,lit1p1,7,1,6pun,-2,1,7731,495,7,0
A1KX0MPSHBMRB9_m4,11/7/2013,20:39:25,lit1p1,41,2,6pun,0,0,4193,507,5,0
ARFK5JVM6G8T2_m4,11/7/2013,20:39:27,lit1p1,47,1,1pun,-2,1,6450,520,1,0
A1KX0MPSHBMRB9_m4,11/7/2013,20:39:30,lit1p1,42,2,6pun,0,0,4099,507,6,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:39:31,lit1p1,8,2,6pun,0,0,5433,495,8,0
ARFK5JVM6G8T2_m4,11/7/2013,20:39:35,lit1p1,48,2,1pun,0,0,4878,520,2,0
A1KX0MPSHBMRB9_m4,11/7/2013,20:39:35,lit1p1,43,2,6pun,0,0,4158,507,7,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:39:38,lit1p1,9,1,5pun,-2,1,4785,494,1,0
A1KX0MPSHBMRB9_m4,11/7/2013,20:39:40,lit1p1,44,2,6pun,0,0,4273,507,8,0
ARFK5JVM6G8T2_m4,11/7/2013,20:39:41,lit1p1,49,2,1pun,0,0,4574,520,3,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:39:44,lit1p1,10,2,5pun,0,0,4604,494,2,0
A1KX0MPSHBMRB9_m4,11/7/2013,20:39:45,lit1p1,45,2,2nopun,0,0,4139,507,1,0
ARFK5JVM6G8T2_m4,11/7/2013,20:39:47,lit1p1,50,2,1pun,0,0,4762,520,4,0
A1KX0MPSHBMRB9_m4,11/7/2013,20:39:50,lit1p1,46,1,2nopun,0,1,4211,508,2,0
ARFK5JVM6G8T2_m4,11/7/2013,20:39:53,lit1p1,51,2,1pun,0,0,4911,520,5,0
A1KX0MPSHBMRB9_m4,11/7/2013,20:39:55,lit1p1,47,1,2nopun,0,1,4310,509,3,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:39:57,lit1p1,11,1,5pun,-2,1,9647,493,3,0
ARFK5JVM6G8T2_m4,11/7/2013,20:39:59,lit1p1,52,2,1pun,0,0,4835,520,6,0
A1KX0MPSHBMRB9_m4,11/7/2013,20:40:00,lit1p1,48,1,2nopun,0,1,4207,510,4,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:40:04,lit1p1,12,2,5pun,0,0,5182,493,4,0
A2I9Y7R8F4J7K2_m4,11/7/2013,20:40:05,lit1p1,14,1,1nopun,0,1,4055,514,6,0
A1KX0MPSHBMRB9_m4,11/7/2013,20:40:05,lit1p1,49,1,2nopun,0,1,4406,511,5,0
A2I9Y7R8F4J7K2_m4,11/7/2013,20:40:10,lit1p1,15,1,3pun,-2,1,5832,513,1,0
A1KX0MPSHBMRB9_m4,11/7/2013,20:40:10,lit1p1,50,1,2nopun,0,1,4243,512,6,0
A1KX0MPSHBMRB9_m4,11/7/2013,20:40:16,lit1p1,51,1,2nopun,0,1,4237,513,7,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:40:19,lit1p1,13,1,5pun,-2,1,5433,492,5,0
A1KX0MPSHBMRB9_m4,11/7/2013,20:40:21,lit1p1,52,1,2nopun,0,1,4189,514,8,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:40:28,lit1p1,14,2,5pun,0,0,4542,492,6,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:40:34,lit1p1,15,1,1nopun,0,1,4943,493,1,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:40:42,lit1p1,16,1,1nopun,0,1,4857,494,2,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:40:50,lit1p1,17,2,1nopun,0,0,5578,494,3,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:40:57,lit1p1,18,2,1nopun,0,0,6172,494,4,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:41:07,lit1p1,19,2,1nopun,0,0,8589,494,5,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:41:12,lit1p1,20,1,1nopun,0,1,4438,495,6,0
A2I9Y7R8F4J7K2_m4,11/7/2013,20:41:16,lit1p1,16,1,3pun,-2,1,6695,512,2,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:41:17,lit1p1,21,1,2nopun,0,1,4266,496,1,0
